time,10H,12H,14H,16H,max
2013-03-14,3.49899998041e-06,5.03259188418e-06,2.86742109946e-06,8.95901732785e-07,5.03259188418e-06
2013-03-15,2.94083594244e-06,4.87706656373e-06,2.39558554298e-06,7.50727619945e-07,5.39668705416e-06
2013-03-16,7.97561195965e-06,7.25509205979e-06,4.3557921842e-06,1.69799444513e-06,9.8405456031e-06
2013-03-17,8.55387875467e-06,8.59129799717e-06,2.18463127121e-06,5.22132567813e-07,1.03125602606e-05
2013-03-18,7.17366007338e-06,4.64863718224e-06,5.33305171239e-06,1.54658082477e-06,7.17366007338e-06
2013-03-19,2.38362415248e-06,1.45907047567e-06,4.71357335138e-06,1.08522810565e-06,4.71357335138e-06
2013-03-20,2.44779869977e-06,1.06133146677e-06,1.02988939013e-06,2.68910559834e-06,2.68910559834e-06
2013-03-21,5.20750625624e-06,1.81622115089e-06,6.72992840021e-07,4.76410496844e-07,5.20750625624e-06
2013-03-22,9.21740211196e-06,8.39976185677e-06,8.69295362175e-06,8.12730650858e-07,1.28046359218e-05
2013-03-23,7.5250366817e-06,1.20788295779e-05,2.75548000539e-06,3.29681190952e-07,1.20788295779e-05
2013-03-24,2.42784945168e-06,8.49612189053e-06,5.34130460813e-06,6.4757669986e-07,9.26610828185e-06
2013-03-25,3.61298519543e-06,8.0272273872e-07,2.35047871392e-06,4.48501949163e-07,3.61298519543e-06
2013-03-26,1.58794149142e-06,2.51802473834e-07,9.10875202182e-07,3.99909399972e-07,1.58794149142e-06
2013-03-27,1.57082893525e-06,3.90574446731e-07,6.36172663252e-06,2.03508532947e-06,6.54025130628e-06
2013-03-28,1.47054457444e-07,6.82976394679e-08,3.57690669324e-06,1.52616457074e-07,3.57690669324e-06
2013-03-29,6.57683070904e-06,6.32507913631e-06,1.93454423734e-06,4.99660795358e-07,8.00245548409e-06
2013-03-30,1.92552305338e-06,1.41971730643e-06,1.45029355954e-08,2.1312133832e-08,1.92552305338e-06
2013-03-31,1.42124821644e-06,4.9301256967e-06,8.5767151947e-07,3.69238007822e-07,4.9301256967e-06
2013-04-01,8.03982380551e-06,6.67323871915e-06,2.15250841367e-06,4.73664954612e-07,1.15638350019e-05
2013-04-02,4.13353372319e-07,2.07248719972e-07,1.18316907045e-06,2.78899924819e-07,1.24341263888e-06
2013-04-03,1.55463486361e-06,1.87097729772e-06,4.01683057371e-06,1.21546890774e-06,4.01683057371e-06
2013-04-04,2.80186192715e-06,3.29516884094e-06,3.36271655956e-06,6.83240913818e-07,3.36271655956e-06
2013-04-05,6.72289826192e-07,1.03283898905e-06,3.61474371506e-06,9.50367704879e-07,4.09606094686e-06
2013-04-06,4.16980153257e-06,1.45380282976e-05,1.36428913539e-05,1.66160724726e-06,1.85039297361e-05
2013-04-07,6.4815154044e-06,1.38317912087e-05,8.40247770581e-06,1.34928537681e-06,1.38317912087e-05
2013-04-08,1.80174775654e-06,2.70785633097e-06,1.35352501687e-06,2.32996905169e-07,3.89204541772e-06
2013-04-09,7.37561490236e-06,7.06633945396e-06,3.04418829394e-06,8.0753900731e-07,8.17939236501e-06
2013-04-10,3.61350469165e-06,5.59393159881e-06,1.24107955503e-06,5.17474053432e-07,5.59393159881e-06
2013-04-11,4.46652072489e-07,1.0592275186e-06,1.20931050301e-06,5.70131625517e-07,1.27884079858e-06
2013-04-12,5.26828432874e-06,1.36798716269e-05,1.18210697324e-05,3.18069724723e-06,1.36798716269e-05
2013-04-13,4.70559601279e-06,7.35498579394e-06,5.29064010166e-06,1.86459035639e-06,9.91803591067e-06
2013-04-14,1.14451679182e-05,1.74906064011e-05,1.45501081677e-05,3.69666906453e-06,1.8615758024e-05
2013-04-15,9.24031473677e-06,9.61199055013e-06,7.94451471126e-06,2.19302335848e-06,1.11006130805e-05
2013-04-16,2.05046882664e-06,2.36297230573e-06,1.69221588349e-06,4.8303049355e-07,2.70012364554e-06
2013-04-17,3.08146808109e-06,9.46093201387e-06,1.49014400926e-05,1.71361645497e-06,1.49014400926e-05
2013-04-18,1.16381919159e-05,4.69998228107e-06,7.54521712657e-06,2.83696384056e-06,1.16381919159e-05
2013-04-19,9.29284442969e-06,1.39266433091e-05,9.3410011466e-06,2.45086123994e-06,1.77079455835e-05
2013-04-20,1.08941255525e-05,1.72553138231e-05,9.32483363433e-06,2.40904685737e-06,1.72553138231e-05
2013-04-21,4.97836268995e-06,4.81722580353e-06,2.45047570972e-06,4.62555836331e-07,7.35119445161e-06
2013-04-22,3.25632433955e-06,6.0180647271e-06,4.34763663619e-06,9.37410429249e-07,6.60398964733e-06
2013-04-23,5.74656419663e-06,1.3495463474e-05,1.00485084e-05,1.6824860578e-06,1.3495463474e-05
2013-04-24,1.2395681589e-05,1.89134999033e-05,8.47434980142e-06,7.06899587602e-07,1.89134999033e-05
2013-04-25,9.55894666691e-06,1.51412421965e-05,1.28806740508e-05,4.64171535713e-07,1.70941316272e-05
2013-04-26,1.83198333793e-06,2.87404222007e-06,4.20728691708e-06,4.64631330752e-07,4.20728691708e-06
2013-04-27,7.54528435852e-06,7.34331529004e-06,5.81364715583e-06,1.19975387323e-06,1.30074050671e-05
2013-04-28,4.73890838967e-06,1.07693063795e-05,3.18563119559e-06,1.40709036559e-06,1.07693063795e-05
2013-04-29,4.32877818079e-06,5.92645375788e-06,3.42658473479e-06,2.17296491304e-06,5.92645375788e-06
2013-04-30,1.10976643469e-05,2.02654274536e-06,6.06042183665e-07,6.16985577524e-07,1.23656944434e-05
2013-05-01,1.05709118701e-05,1.04557052387e-05,8.94434500563e-06,1.62921391474e-06,1.57026599118e-05
